Theta [deg],dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='0deg',dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='90.0000000000002deg'
52.1,-12.02,-44.21
52.2,-12.02,-44.21
52.3,-12.02,-44.21
52.4,-12.02,-44.21
52.5,-12.02,-44.21
52.6,-12.02,-44.21
52.7,-12.02,-44.21
52.8,-12.02,-44.21
52.9,-12.02,-44.21
53,-12.02,-44.21
53.1,-12.02,-44.21
53.2,-12.02,-44.71
53.3,-12.02,-44.71
53.4,-12.02,-44.71
53.5,-12.02,-44.71
53.6,-12.02,-44.71
53.7,-12.54,-44.71
53.8,-12.54,-44.71
53.9,-12.54,-44.71
54,-12.54,-44.71
54.1,-12.54,-44.96
54.2,-12.85,-44.96
54.3,-12.85,-44.96
54.4,-12.85,-44.96
54.5,-12.85,-44.96
54.6,-12.85,-44.96
54.7,-12.85,-44.96
54.8,-12.85,-44.96
54.9,-12.85,-44.96
55,-12.85,-44.96
55.1,-12.85,-45.79
55.2,-12.85,-45.79
55.3,-12.85,-45.79
55.4,-13.26,-45.79
55.5,-13.26,-45.79
55.6,-13.26,-45.79
55.7,-13.26,-45.79
55.8,-13.26,-45.79
55.9,-13.26,-45.79
56,-13.26,-47.07
56.1,-13.26,-47.07
56.2,-13.26,-47.07
56.3,-13.26,-47.07
56.4,-13.26,-47.07
56.5,-13.26,-47.07
56.6,-13.52,-47.07
56.7,-13.52,-48.48
56.8,-13.52,-48.48
56.9,-13.52,-48.48
57,-13.52,-48.48
57.1,-13.52,-48.48
57.2,-13.52,-48.48
57.3,-13.52,-48.48
57.4,-13.52,-48.48
57.5,-13.52,-48.48
57.6,-13.52,-48.48
57.7,-13.52,-48.48
57.8,-13.52,-48.48
57.9,-13.52,-48.48
58,-13.93,-48.48
58.1,-13.93,-48.46
58.2,-13.93,-48.46
58.3,-13.93,-48.46
58.4,-13.93,-48.46
58.5,-13.93,-48.46
58.6,-13.93,-48.46
58.7,-13.93,-48.46
58.8,-13.93,-48.46
58.9,-13.93,-48.46
59,-13.93,-48.46
59.1,-14.29,-49.6
59.2,-14.29,-49.6
59.3,-14.29,-49.6
59.4,-14.29,-49.6
59.5,-14.29,-49.6
59.6,-14.29,-49.6
59.7,-14.29,-49.6
59.8,-14.29,-49.6
59.9,-14.29,-49.6
60,-14.29,-51.07
60.1,-14.68,-51.07
60.2,-14.68,-51.07
60.3,-14.68,-51.07
60.4,-14.68,-51.07
60.5,-14.68,-51.07
60.6,-14.68,-51.07
60.7,-14.68,-51.07
60.8,-14.68,-51.07
60.9,-14.68,-51.07
61,-14.68,-51.18
61.1,-14.68,-51.18
61.2,-14.68,-51.18
61.3,-14.68,-51.18
61.4,-14.68,-51.18
61.5,-14.68,-51.18
61.6,-14.68,-51.18
61.7,-14.68,-51.18
61.8,-14.68,-51.18
61.9,-14.68,-51.18
62,-14.68,-52.54
62.1,-14.68,-52.54
62.2,-14.68,-52.54
62.3,-14.68,-52.54
62.4,-14.68,-52.54
62.5,-14.68,-52.54
62.6,-15.01,-52.54
62.7,-15.01,-52.54
62.8,-15.01,-52.54
62.9,-15.01,-51.51
63,-15.01,-51.51
63.1,-15.01,-49.74
