"Freq [GHz]","dB(S(1,1)) [] - L1='9mm' RatioElips='1.5' Zref='30mm'"
0.84,-15.3748837303606
0.841,-15.402090899157
0.842,-15.4306802664053
0.843,-15.4606618227004
0.844,-15.492046000459
0.845,-15.5248436769262
0.846,-15.5590661772387
0.847,-15.5947252775151
0.848,-15.6318332079445
0.849,-15.670402655837
0.85,-15.7104467685993
0.851,-15.7519791565922
0.852,-15.7950138958224
0.853,-15.8395655304152
0.854,-15.885649074808
0.855,-15.933280015598
0.856,-15.9824743129701
0.857,-16.0332484016186
0.858,-16.0856191910712
0.859,-16.1396040653079
0.86,-16.1952208815573
0.861,-16.2524879681376
0.862,-16.3114241211925
0.863,-16.3720486001561
0.864,-16.4343811217586
0.865,-16.4984418523628
0.866,-16.5642513983957
0.867,-16.6318307946097
0.868,-16.7012014898781
0.869,-16.7723853301886
0.87,-16.8454045384642
0.871,-16.9202816907892
0.872,-16.9970396885701
0.873,-17.075701726103
0.874,-17.1562912529539
0.875,-17.2388319304864
0.876,-17.3233475817904
0.877,-17.4098621341736
0.878,-17.4983995532768
0.879,-17.588983767759
0.88,-17.681638583372
0.881,-17.7763875851003
0.882,-17.8732540258857
0.883,-17.9722607002756
0.884,-18.0734298011399
0.885,-18.1767827573819
0.886,-18.2823400503257
0.887,-18.3901210061956
0.888,-18.5001435618085
0.889,-18.6124240002757
0.89,-18.7269766531606
0.891,-18.8438135651505
0.892,-18.9629441168935
0.893,-19.0843746012039
0.894,-19.2081077473749
0.895,-19.3341421878488
0.896,-19.4624718609906
0.897,-19.5930853432117
0.898,-19.7259651031985
0.899,-19.8610866705509
0.9,-19.9984177107507
0.901,-20.137916998102
0.902,-20.2795332781612
0.903,-20.4232040112805
0.904,-20.5688539892922
0.905,-20.7163938181774
0.906,-20.8657182609151
0.907,-21.0167044367414
0.908,-21.1692098759583
0.909,-21.3230704334125
0.91,-21.4780980690618
0.911,-21.6340785109216
0.912,-21.7907688243951
0.913,-21.9478949228116
0.914,-22.1051490671513
0.915,-22.2621874185616
0.916,-22.4186277253976
0.917,-22.574047246942
0.918,-22.7279810381818
0.919,-22.8799207431571
0.92,-23.0293140670166
0.921,-23.1755651170209
0.922,-23.3180358176119
0.923,-23.456048610973
0.924,-23.5888906483433
0.925,-23.7158196545494
0.926,-23.8360716048474
0.927,-23.9488702861658
0.928,-24.0534387229084
0.929,-24.1490123320222
0.93,-24.2348535380008
0.931,-24.3102674349119
0.932,-24.3746179424467
0.933,-24.4273437825269
0.934,-24.4679735196033
0.935,-24.496138877504
0.936,-24.5115855801863
0.937,-24.5141810674391
0.938,-24.5039186047283
0.939,-24.4809175248396
0.94,-24.4454195857267
0.941,-24.397781677424
0.942,-24.3384653341672
0.943,-24.2680236831792
0.944,-24.1870865736956
0.945,-24.0963446727855
0.946,-23.9965332917513
0.947,-23.8884166292438
0.948,-23.7727730004071
0.949,-23.6503814827818
0.95,-23.5220102657622
0.951,-23.3884068546146
0.952,-23.2502901619642
0.953,-23.1083444246775
0.954,-22.9632148140079
0.955,-22.8155045607164
0.956,-22.6657733917407
0.957,-22.5145370669926
0.958,-22.362267809847
0.959,-22.2093954389019
0.96,-22.0563090282015
0.961,-21.9033589455547
0.962,-21.7508591417323
0.963,-21.5990895857299
0.964,-21.4482987619548
0.965,-21.2987061636263
0.966,-21.150504732615
0.967,-21.0038632094031
0.968,-20.8589283679414
0.969,-20.7158271191411
0.97,-20.5746684738243
0.971,-20.4355453614323
0.972,-20.2985363049256
0.973,-20.1637069553351
0.974,-20.0311114915592
0.975,-19.9007938924271
0.976,-19.7727890889235
0.977,-19.6471240049205
0.978,-19.5238184948987
0.979,-19.402886187039
0.98,-19.2843352398066
0.981,-19.1681690197736
0.982,-19.054386707982
0.983,-18.9429838416626
0.984,-18.8339527976244
0.985,-18.727283223125
0.986,-18.6229624195437
0.987,-18.5209756837054
0.988,-18.4213066112622
0.989,-18.3239373661171
0.99,-18.2288489194925
0.991,-18.1360212618863
0.992,-18.0454335908318
0.993,-17.9570644770811
0.994,-17.8708920115588
0.995,-17.7868939351889
0.996,-17.705047753476
0.997,-17.6253308375217
0.998,-17.5477205129789
0.999,-17.4721941382855
1,-17.3987291733731
1.001,-17.3273032399194
1.002,-17.2578941740968
1.003,-17.1904800726647
1.004,-17.1250393331642
1.005,-17.0615506888878
1.006,-16.9999932392266
1.007,-16.9403464759305
1.008,-16.8825903057583
1.009,-16.8267050699434
1.01,-16.7726715608542
1.011,-16.7204710361873
1.012,-16.6700852309937
1.013,-16.6214963678078
1.014,-16.5746871651166
1.015,-16.5296408443836
1.016,-16.4863411358169
